Agency,Facility,Country,Address
ESA,ESA Headquarters,France,"8-10 rue Mario Nikis, 75015 Paris"
ESA,ESTEC (Tech Centre),Netherlands,"Keplerlaan 1, 2201 AZ Noordwijk"
ESA,ESOC (Operations),Germany,"Robert-Bosch-Strasse 5, 64293 Darmstadt"
ESA,ESRIN (Earth Observation),Italy,"Largo Galileo Galilei 1, 00044 Frascati"
ESA,ESAC (Astronomy),Spain,"Camino Bajo del Castillo, 28692 Villanueva de la Cañada"
ESA,EAC (Astronaut Centre),Germany,"Linder Hoehe, D-51147 Cologne"
ESA,ECSAT (Telecoms),UK,"Fermi Avenue, Harwell Campus, Didcot OX11 0FD"
CNES,CNES Headquarters,France,"2 Place Maurice Quentin, 75001 Paris"
CNES,Toulouse Space Centre,France,"18 avenue Edouard Belin, 31401 Toulouse"
DLR,DLR Headquarters,Germany,"Linder Höhe, 51147 Köln"
ASI,ASI Headquarters,Italy,"Via del Politecnico snc, 00133 Rome"
UKSA,UK Space Agency HQ,UK,"Polaris House, North Star Avenue, Swindon SN2 1SZ"
